id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at,status_verified_at
27a167c6-afee-4a4f-b519-eadf81d28280,listed.moi,available,25.99,25.99,high,low,6,namesilo,,,
79c21eaa-d6aa-4faa-9995-c734c2e8440b,but.moi,premium,242,242,high,low,3,namesilo,,,
c0948756-540d-4baf-9867-e616c2d0b328,awareness.moi,available,25.99,25.99,high,low,9,namesilo,,,
f0436362-26d4-4794-97fb-5819060f2b53,marriage.moi,premium,640,640,high,low,8,namesilo,,,19/09/2026 14:30
ce4179f2-7233-46ef-8e72-f7046cd533d5,revolved.moi,available,39.99,,high,low,8,name.com,,,
632adeb3-ef0c-4c05-917f-c2209795d674,baggage.moi,available,25.99,25.99,high,low,7,namesilo,,,
0f5b3bbf-15f1-4b9d-b174-5fea2b56bfb2,would.moi,premium,53.92,53.92,high,low,5,namesilo,,,
89d64ef9-2ddc-4b45-9dc9-9c2575bf6cb0,initial.moi,available,25.99,25.99,high,low,7,namesilo,,,
d88deb4d-ffe4-48fa-a734-7f9a5a1925da,mister.moi,available,39.99,,high,low,6,name.com,,,
ae562480-ec68-454c-9aa9-74870dbe6fef,objectively.moi,available,25.99,25.99,high,low,11,namesilo,,,
6f903f72-9390-48aa-bea0-01a33816255c,lang.moi,available,25.99,25.99,high,low,4,namesilo,,,
8486f209-cb6b-43c4-8d58-02cf9c434527,artwork.moi,available,25.99,25.99,high,low,7,namesilo,,,
d3a10378-a124-477a-bf78-1042c0017cce,sky.moi,premium,242,242,high,medium,3,namesilo,,,
5e055063-9be3-4146-a30a-0fb23316d69b,nearly.moi,available,25.99,25.99,high,low,6,namesilo,,,
35ff4539-ea9e-4d18-a9d2-87c88590667a,hybrid.moi,available,25.99,25.99,high,low,6,namesilo,,,
de3307bf-9aea-41e7-955b-bb29f20a6e79,invent.moi,premium,89.25,89.25,high,low,6,namesilo,,,
c0ec7f9a-da9c-4d88-a284-d150d141d8d7,detective.moi,available,25.99,25.99,high,low,9,namesilo,,,
94c4a2c8-e432-4fb9-9172-e242e0441e8d,retired.moi,available,39.99,,high,low,7,name.com,,,
1bc54cb8-cd2d-45e4-b9e3-358f1931ac84,pass.moi,available,25.99,25.99,high,low,4,namesilo,,,
cd88d152-2ecb-46e8-9003-7254ec18a2db,laptop.moi,available,25.99,25.99,high,low,6,namesilo,,,
9435587e-a278-4455-845c-b8911001d368,aaa.moi,premium,242,242,high,medium,3,namesilo,,,
a0ba9316-5418-4117-a747-ce12549b3d91,grew.moi,available,25.99,25.99,high,low,4,namesilo,,,
1bf1cd2c-7e56-4235-977f-6dd4171244f6,invariably.moi,available,25.99,25.99,high,low,10,namesilo,,,
0b279177-0cd8-4b18-8a8f-927658318cf9,laborer.moi,available,25.99,25.99,high,low,7,namesilo,,,
088bd927-ccc2-42ef-aee0-5720b8488d12,victor.moi,premium,625,,high,medium,6,name.com,,,
8f1da9fa-ae7f-4c62-903e-fbcdc5cba6ed,meddle.moi,available,25.99,25.99,high,low,6,namesilo,,,
b4a87752-be90-425f-9f81-7e211ec288ae,married.moi,available,25.99,25.99,high,low,7,namesilo,,,
a927514e-a294-4552-a045-759c920a4676,developer.moi,available,25.99,25.99,high,low,9,namesilo,,,
7b5f6e65-466b-4c7a-ae17-33976aa87327,hic.moi,available,25.99,25.99,high,low,3,namesilo,,,
4923a8cd-0f19-4f50-94f0-493b8e83d623,successor.moi,available,39.99,,high,low,9,name.com,,,
d1036d45-d10f-466b-91f4-53d2c933c6e1,bond.moi,available,25.99,25.99,high,low,4,namesilo,,,
1eb82f4d-a07e-477d-9de1-98b8efd2af1e,spirits.moi,available,39.99,,high,low,7,name.com,,,
9d203daf-669d-4364-b640-af0a7f067d38,breathtaking.moi,available,25.99,25.99,high,low,12,namesilo,,,
5b6b94ab-9ae5-4064-92e2-d69ffca79a22,exaggerate.moi,available,25.99,25.99,high,low,10,namesilo,,,
9938cbb3-4850-4978-af2e-7c767b989738,pharmacist.moi,available,39.99,,high,low,10,name.com,,,
50579fbe-208b-430b-a392-ac349142d9f6,acre.moi,available,25.99,25.99,high,low,4,namesilo,,,
e18c7d95-a814-4bd8-9ed9-4b7e1a62d9f9,technique.moi,premium,93.75,,high,low,9,name.com,,,
92dcf7eb-3362-41a1-9bd6-ea4c982ae7e2,lockbox.moi,available,25.99,25.99,high,low,7,namesilo,,,
ba605384-e849-46ff-b96c-b8e237553d2a,vodka.moi,premium,625,,high,low,5,name.com,,,
904780ab-99fc-4f52-a28a-ee4fef4e2953,day.moi,premium,242,242,high,low,3,namesilo,,,
2ec93476-3086-47a1-969d-2a623b45aebd,gore.moi,available,25.99,25.99,medium,low,4,namesilo,,,
214655eb-d22f-47b0-9ecc-3617505eac28,rail.moi,available,25.99,25.99,high,low,4,namesilo,,,
414389bc-7a9f-47dd-b9b4-84e5cf0f35bc,siberian.moi,available,25.99,25.99,high,low,8,namesilo,,,
62f65ee9-1f1c-4df5-8e1d-8e5396b31e03,esteem.moi,available,25.99,25.99,high,low,6,namesilo,,,
ef0e393e-967f-4f8f-9782-6232413bda72,bulb.moi,available,25.99,25.99,high,low,4,namesilo,,,
a34276a9-c36c-4f02-9f28-33cbb3b7f09b,appoint.moi,available,25.99,25.99,high,low,7,namesilo,,,
63239de1-68c4-4ea7-9af1-c804fd89e511,suspense.moi,available,39.99,,high,low,8,name.com,,,
d036266b-3d26-49e3-b1d7-4053c8e6dfc3,clam.moi,available,25.99,25.99,high,low,4,namesilo,,,
ae64e223-3fe5-4324-8c9e-5d0376c697fb,roll.moi,available,39.99,,high,low,4,name.com,,,
94738cc2-df01-47d9-9be2-dd5fc72c6399,alabama.moi,available,25.99,25.99,high,low,7,namesilo,,,
7d2cc346-112c-4430-b6ef-20965d19a29e,abundantly.moi,available,25.99,25.99,high,low,10,namesilo,,,
f1b9f14a-7b10-42a9-a1a6-47012866859c,lager.moi,available,25.99,25.99,high,low,5,namesilo,,,
2ecb5ce7-3c8a-4262-8ed7-18ff8e81b9c9,oslo.moi,available,25.99,25.99,high,low,4,namesilo,,,
a133d491-5a1e-4d68-8325-fbb944572777,buyer.moi,available,25.99,25.99,high,low,5,namesilo,,,
da2eb680-ff97-4aa4-9824-0bc45b3f3225,passive.moi,available,25.99,25.99,high,low,7,namesilo,,,
211f7b77-b31c-4579-a6b1-408b13e2b61a,cot.moi,available,25.99,25.99,high,low,3,namesilo,,,
ca84dc0a-f771-48b4-8469-85b05483ebd9,most.moi,available,25.99,25.99,high,low,4,namesilo,,,
1ac1eee1-d28c-4cda-9daa-52e3d7102894,taylor.moi,available,39.99,,high,low,6,name.com,,,
0e40afde-68a2-4af9-ba68-9d18bcc6ad2b,breakfast.moi,available,25.99,25.99,high,low,9,namesilo,,,04/09/2026 13:27
1dbe2bae-ddb9-43c4-9d64-03c284d1e37e,examine.moi,available,25.99,25.99,high,low,7,namesilo,,,
96103f47-88b7-48dc-bc8a-7b6934f029fc,lastly.moi,available,39.99,,medium,low,6,name.com,,,
6cbd3f57-07a0-4977-9dc6-3419430db88c,details.moi,available,25.99,25.99,high,low,7,namesilo,,,
9f531930-1b91-4d6f-a0c5-84c0d1214155,optionally.moi,available,25.99,25.99,high,low,10,namesilo,,,
60df5d2b-ef41-40f2-80cb-52aab9b5d244,ask.moi,premium,1107,1107,high,medium,3,namesilo,,,
9d6ff7cd-1b36-4570-a554-f396858ebb47,damascus.moi,available,25.99,25.99,high,low,8,namesilo,,,
c517b2ae-7f5f-4263-bc7d-ad8a95f97edc,outcome.moi,available,25.99,25.99,high,low,7,namesilo,,,
a6b4ade1-ce5d-440d-97fd-e5d84b525746,justified.moi,available,25.99,25.99,high,low,9,namesilo,,,
c678515c-e4a5-457e-9950-b85135c398d7,diversity.moi,available,25.99,25.99,high,low,9,namesilo,,,
8a619496-e31e-444e-9e14-fdae3a2f6db0,thorpe.moi,available,25.99,25.99,high,low,6,namesilo,,,
20b66e1a-ca2d-4231-8d4c-700ee071818d,distance.moi,available,25.99,25.99,high,low,8,namesilo,,,
21bd168c-6670-428f-a9a0-dd460ce9f885,pup.moi,available,25.99,25.99,high,low,3,namesilo,,,
1019ecd0-39da-48f1-8671-62ef33b80051,rest.moi,available,25.99,25.99,high,low,4,namesilo,,,
2bde8350-0195-48e8-89dd-d33f8f4919bf,consent.moi,available,25.99,25.99,high,low,7,namesilo,,,08/09/2026 13:17
3970aba0-0b88-4cd8-8a6d-557279748ea7,shaft.moi,available,25.99,25.99,high,low,5,namesilo,,,
6d55b1a9-f78a-4690-8e17-96d1679dd7d9,police.moi,premium,116,116,high,low,6,namesilo,,,
de264753-9c4f-4c99-876c-bd2e5d3e96f0,polo.moi,available,39.99,,high,high,4,name.com,,,
7e41d098-2b92-413d-bce2-9a4abed6114d,want.moi,premium,125,,high,low,4,name.com,,,
3ef6e728-a515-4aba-9aa1-bb3f9538b74a,sneeze.moi,available,25.99,25.99,high,low,6,namesilo,,,
1010296f-0784-4f7c-8913-b6f515825ebe,modeller.moi,available,39.99,,high,low,8,name.com,,,
a482a2bc-99fb-49dd-87cf-fdd23c85df1d,salad.moi,available,25.99,25.99,high,low,5,namesilo,,,
87f726a8-f85d-409e-8b2e-3cc542238565,uproar.moi,available,39.99,,high,low,6,name.com,,,
b387cdf5-5633-4c86-bc27-efafeda6cdb8,campus.moi,available,25.99,25.99,high,low,6,namesilo,,,
e10c3281-6f34-4478-ad4e-35f45c4d5c1b,whose.moi,available,25.99,25.99,high,low,5,namesilo,,,
aee32149-bad1-47e5-94f6-6a6131e919e8,almost.moi,available,25.99,25.99,high,low,6,namesilo,,,
5c86f43b-4269-44ed-b4ab-ff9334ed8745,traveller.moi,available,25.99,25.99,high,low,9,namesilo,,,
d7b80d7b-1d95-455a-9881-9bc910733f2e,msg.moi,premium,937.5,,high,low,3,name.com,,,
afd3a581-a4e5-454c-859f-51c0b1af3a84,passionately.moi,available,25.99,25.99,high,low,12,namesilo,,,
9341f1ea-d6b9-4c32-9176-a11c49d040f3,produce.moi,available,25.99,25.99,high,low,7,namesilo,,,
